Academic Yr,Category,Ethnicity,Perc FR,FilteredCountFR
2001,Admits,Chicano/Latino,13.55%,7708
2001,Admits,American Indian,0.61%,347
2001,Admits,African American,3.20%,1820
2001,Admits,All,100.00%,56870
2000,Admits,International,1.69%,874
2000,Admits,Unknown,9.44%,4892
2000,Admits,White,40.12%,20783
2000,Admits,Asian,32.37%,16769
2000,Admits,Chicano/Latino,12.66%,6561
2000,Admits,American Indian,0.59%,308
2000,Admits,African American,3.13%,1619
2000,Admits,All,100.00%,51806
1999,Admits,International,1.53%,762
1999,Admits,Unknown,9.03%,4492
1999,Admits,White,41.30%,20555
1999,Admits,Asian,32.38%,16115
1999,Admits,Chicano/Latino,12.09%,6018
1999,Admits,American Indian,0.63%,312
1999,Admits,African American,3.04%,1512
1999,Admits,All,100.00%,49766
1998,Admits,International,1.35%,639
1998,Admits,Unknown,15.71%,7450
1998,Admits,White,36.46%,17293
1998,Admits,Asian,30.83%,14623
1998,Admits,Chicano/Latino,11.92%,5655
1998,Admits,American Indian,0.72%,340
1998,Admits,African American,3.01%,1427
1998,Admits,All,100.00%,47427
1997,Admits,International,1.78%,798
1997,Admits,Unknown,5.53%,2472
1997,Admits,White,42.62%,19067
1997,Admits,Asian,32.54%,14559
1997,Admits,Chicano/Latino,13.14%,5877
1997,Admits,American Indian,0.75%,334
1997,Admits,African American,3.65%,1633
1997,Admits,All,100.00%,44740
1996,Admits,International,1.27%,549
1996,Admits,Unknown,7.07%,3061
1996,Admits,White,41.57%,17999
1996,Admits,Asian,31.72%,13736
1996,Admits,Chicano/Latino,13.59%,5886
1996,Admits,American Indian,0.88%,383
1996,Admits,African American,3.90%,1687
1996,Admits,All,100.00%,43301
1995,Admits,International,1.73%,720
1995,Admits,Unknown,6.17%,2576
1995,Admits,White,41.19%,17187
1995,Admits,Asian,30.69%,12806
1995,Admits,Chicano/Latino,14.95%,6237
1995,Admits,American Indian,1.01%,423
1995,Admits,African American,4.26%,1776
1995,Admits,All,100.00%,41725
1994,Admits,International,1.28%,508
1994,Admits,Unknown,5.63%,2229
1994,Admits,White,40.98%,16232
1994,Admits,Asian,32.24%,12769
1994,Admits,Chicano/Latino,14.73%,5835
1994,Admits,American Indian,0.85%,337
1994,Admits,African American,4.29%,1699
1994,Admits,All,100.00%,39609
2017,Enrollees,International,12.94%,5954
2017,Enrollees,Unknown,2.64%,1214
2017,Enrollees,White,20.25%,9314
2017,Enrollees,Asian,33.66%,15487
2017,Enrollees,Chicano/Latino,26.00%,11960
2017,Enrollees,American Indian,0.44%,204
2017,Enrollees,African American,4.07%,1873
2017,Enrollees,All,100.00%,46006
2016,Enrollees,International,12.28%,5829
2016,Enrollees,Unknown,2.76%,1309
2016,Enrollees,White,20.62%,9790
2016,Enrollees,Asian,33.42%,15868
2016,Enrollees,Chicano/Latino,26.41%,12540
2016,Enrollees,American Indian,0.46%,217
2016,Enrollees,African American,4.06%,1926
2016,Enrollees,All,100.00%,47479
2015,Enrollees,International,13.14%,5459
2015,Enrollees,Unknown,2.89%,1201
2015,Enrollees,White,20.98%,8719
2015,Enrollees,Asian,34.90%,14502
2015,Enrollees,Chicano/Latino,24.04%,9992
2015,Enrollees,American Indian,0.52%,217
2015,Enrollees,African American,3.53%,1466
2015,Enrollees,All,100.00%,41556
2014,Enrollees,International,11.10%,4615
2014,Enrollees,Unknown,2.53%,1051
2014,Enrollees,White,21.85%,9081
2014,Enrollees,Asian,35.84%,14897
2014,Enrollees,Chicano/Latino,24.46%,10166
2014,Enrollees,American Indian,0.58%,242
2014,Enrollees,African American,3.65%,1516
2014,Enrollees,All,100.00%,41568
2013,Enrollees,International,10.15%,4060
2013,Enrollees,Unknown,2.87%,1146
2013,Enrollees,White,22.90%,9155
2013,Enrollees,Asian,36.25%,14496
2013,Enrollees,Chicano/Latino,23.74%,9491
2013,Enrollees,American Indian,0.49%,194
2013,Enrollees,African American,3.61%,1442
2013,Enrollees,All,100.00%,39984
2012,Enrollees,International,8.69%,3364
2012,Enrollees,Unknown,2.35%,911
2012,Enrollees,White,23.34%,9039
2012,Enrollees,Asian,38.17%,14783
2012,Enrollees,Chicano/Latino,22.95%,8889
2012,Enrollees,American Indian,0.60%,233
2012,Enrollees,African American,3.90%,1512
2012,Enrollees,All,100.00%,38731
2011,Enrollees,International,6.04%,2196
2011,Enrollees,Unknown,2.00%,726
2011,Enrollees,White,25.52%,9274
2011,Enrollees,Asian,39.04%,14188
2011,Enrollees,Chicano/Latino,23.08%,8389
2011,Enrollees,American Indian,0.63%,228
2011,Enrollees,African American,3.69%,1342
2011,Enrollees,All,100.00%,36343
2010,Enrollees,International,3.54%,1217
2010,Enrollees,Unknown,4.83%,1661
2010,Enrollees,White,26.71%,9195
2010,Enrollees,Asian,39.72%,13673
2010,Enrollees,Chicano/Latino,20.83%,7169
2010,Enrollees,American Indian,0.72%,249
2010,Enrollees,African American,3.65%,1258
2010,Enrollees,All,100.00%,34422
2009,Enrollees,International,2.27%,779
2009,Enrollees,Unknown,4.73%,1621
2009,Enrollees,White,29.57%,10127
2009,Enrollees,Asian,39.72%,13602
2009,Enrollees,Chicano/Latino,19.40%,6642
2009,Enrollees,American Indian,0.62%,214
2009,Enrollees,African American,3.67%,1257
2009,Enrollees,All,100.00%,34242
2008,Enrollees,International,2.37%,866
2008,Enrollees,Unknown,5.87%,2145
2008,Enrollees,White,30.69%,11214
2008,Enrollees,Asian,38.51%,14071
2008,Enrollees,Chicano/Latino,18.29%,6683
2008,Enrollees,American Indian,0.46%,167
2008,Enrollees,African American,3.81%,1392
2008,Enrollees,All,100.00%,36538
2007,Enrollees,International,1.68%,593
2007,Enrollees,Unknown,5.52%,1946
2007,Enrollees,White,31.36%,11054
2007,Enrollees,Asian,40.57%,14301
2007,Enrollees,Chicano/Latino,16.76%,5909
2007,Enrollees,American Indian,0.50%,177
2007,Enrollees,African American,3.61%,1271
2007,Enrollees,All,100.00%,35251
2006,Enrollees,International,1.60%,565
2006,Enrollees,Unknown,6.13%,2166
2006,Enrollees,White,32.09%,11337
2006,Enrollees,Asian,40.96%,14472
2006,Enrollees,Chicano/Latino,15.63%,5521
2006,Enrollees,American Indian,0.51%,179
2006,Enrollees,African American,3.08%,1088
2006,Enrollees,All,100.00%,35328
2005,Enrollees,International,1.49%,468
2005,Enrollees,Unknown,6.46%,2033
2005,Enrollees,White,33.84%,10646
2005,Enrollees,Asian,39.92%,12561
2005,Enrollees,Chicano/Latino,14.87%,4678
2005,Enrollees,American Indian,0.48%,152
2005,Enrollees,African American,2.94%,926
2005,Enrollees,All,100.00%,31464
2004,Enrollees,International,1.41%,418
2004,Enrollees,Unknown,8.21%,2427
2004,Enrollees,White,33.96%,10033
2004,Enrollees,Asian,38.68%,11428
2004,Enrollees,Chicano/Latino,14.42%,4260
2004,Enrollees,American Indian,0.48%,143
2004,Enrollees,African American,2.83%,836
2004,Enrollees,All,100.00%,29545
2003,Enrollees,International,1.07%,341
2003,Enrollees,Unknown,8.60%,2741
2003,Enrollees,White,34.94%,11134
2003,Enrollees,Asian,37.69%,12009
2003,Enrollees,Chicano/Latino,14.11%,4496
2003,Enrollees,American Indian,0.45%,144
2003,Enrollees,African American,3.14%,1001
2003,Enrollees,All,100.00%,31866
2002,Enrollees,International,1.00%,316
2002,Enrollees,Unknown,7.61%,2397
2002,Enrollees,White,35.79%,11278
2002,Enrollees,Asian,38.44%,12113
2002,Enrollees,Chicano/Latino,13.59%,4283
2002,Enrollees,American Indian,0.54%,170
2002,Enrollees,African American,3.04%,957
2002,Enrollees,All,100.00%,31514
2001,Enrollees,International,1.15%,351
2001,Enrollees,Unknown,8.55%,2608
2001,Enrollees,White,36.06%,10998
2001,Enrollees,Asian,37.83%,11536
2001,Enrollees,Chicano/Latino,12.95%,3948
2001,Enrollees,American Indian,0.57%,175
2001,Enrollees,African American,2.88%,879
2001,Enrollees,All,100.00%,30495
2000,Enrollees,International,1.20%,344
2000,Enrollees,Unknown,8.84%,2525
2000,Enrollees,White,36.92%,10545
2000,Enrollees,Asian,37.07%,10588
2000,Enrollees,Chicano/Latino,12.35%,3526
2000,Enrollees,American Indian,0.57%,164
2000,Enrollees,African American,3.04%,867
2000,Enrollees,All,100.00%,28559
1999,Enrollees,International,1.04%,287
1999,Enrollees,Unknown,8.54%,2348
1999,Enrollees,White,37.80%,10391
1999,Enrollees,Asian,37.39%,10279
1999,Enrollees,Chicano/Latino,11.89%,3269
1999,Enrollees,American Indian,0.52%,143
1999,Enrollees,African American,2.82%,774
1999,Enrollees,All,100.00%,27491
1998,Enrollees,International,0.76%,200
1998,Enrollees,Unknown,15.23%,4007
1998,Enrollees,White,33.83%,8901
1998,Enrollees,Asian,35.28%,9284
1998,Enrollees,Chicano/Latino,11.35%,2986
1998,Enrollees,American Indian,0.67%,176
1998,Enrollees,African American,2.89%,760
1998,Enrollees,All,100.00%,26314
1997,Enrollees,International,1.08%,269
1997,Enrollees,Unknown,5.07%,1268
1997,Enrollees,White,40.21%,10048
1997,Enrollees,Asian,36.41%,9097
1997,Enrollees,Chicano/Latino,12.67%,3165
1997,Enrollees,American Indian,0.76%,191
1997,Enrollees,African American,3.79%,948
1997,Enrollees,All,100.00%,24986
1996,Enrollees,International,0.70%,169
1996,Enrollees,Unknown,6.62%,1597
1996,Enrollees,White,38.39%,9262
1996,Enrollees,Asian,36.10%,8709
1996,Enrollees,Chicano/Latino,13.45%,3245
1996,Enrollees,American Indian,1.00%,242
1996,Enrollees,African American,3.74%,903
1996,Enrollees,All,100.00%,24127
1995,Enrollees,International,1.15%,265
1995,Enrollees,Unknown,5.78%,1337
1995,Enrollees,White,37.45%,8659
1995,Enrollees,Asian,35.23%,8147
1995,Enrollees,Chicano/Latino,15.05%,3480
1995,Enrollees,American Indian,1.13%,262
1995,Enrollees,African American,4.20%,972
1995,Enrollees,All,100.00%,23122
1994,Enrollees,International,0.88%,196
1994,Enrollees,Unknown,5.29%,1186
1994,Enrollees,White,36.24%,8117
1994,Enrollees,Asian,37.15%,8321
1994,Enrollees,Chicano/Latino,15.18%,3401
1994,Enrollees,American Indian,0.96%,216
1994,Enrollees,African American,4.30%,963
1994,Enrollees,All,100.00%,22400
